,0,1,2
0,data/uberduck-multispeakerwavs/1.wav,"Move it, ball.",0
1,data/uberduck-multispeakerwavs/2.wav,My daddy calls that a birdie.,0
2,data/uberduck-multispeakerwavs/3.wav,"This is it Chuckie, don't mess up.",0
3,data/uberduck-multispeakerwavs/4.wav,Get 'em all.,0
4,data/uberduck-multispeakerwavs/5.wav,But I want it now.,0
5,data/uberduck-multispeakerwavs/6.wav,Look at all the pretty eggs.,0
6,data/uberduck-multispeakerwavs/7.wav,"You're mine, babies.",0
7,data/uberduck-multispeakerwavs/8.wav,Over here.,0
8,data/uberduck-multispeakerwavs/9.wav,Give me those cookies.,0
9,data/uberduck-multispeakerwavs/10.wav,"Ha, take that.",0
10,data/uberduck-multispeakerwavs/11.wav,"When I'm through with you babies, there won't be nothing left but the diapers.",0
11,data/uberduck-multispeakerwavs/12.wav,Hey let me go!,0
12,data/uberduck-multispeakerwavs/13.wav,What was that all about?,0
13,data/uberduck-multispeakerwavs/14.wav,I wonder what this button does.,0
14,data/uberduck-multispeakerwavs/15.wav,"Whoa, look out!",0
15,data/uberduck-multispeakerwavs/16.wav,Somethin not right about this.,0
16,data/uberduck-multispeakerwavs/17.wav,"Boy, aliums is weird.",0
17,data/uberduck-multispeakerwavs/18.wav,"Boy, aliums sure got bad taste.",0
18,data/uberduck-multispeakerwavs/19.wav,I know I'm close.,0
19,data/uberduck-multispeakerwavs/20.wav,I did it perfect.,0
20,data/uberduck-multispeakerwavs/21.wav,Something tells me that's not supposed to go there.,0
21,data/uberduck-multispeakerwavs/22.wav,There they go zooming to their door at unhuman speeds.,0
22,data/uberduck-multispeakerwavs/23.wav,Can't you go any faster than that?,0
23,data/uberduck-multispeakerwavs/24.wav,Beat ya!,0
24,data/uberduck-multispeakerwavs/25.wav,Over here!,0
25,data/uberduck-multispeakerwavs/26.wav,"Hey babies, don't keep me waiting!",0
26,data/uberduck-multispeakerwavs/27.wav,That'll show ya.,0
27,data/uberduck-multispeakerwavs/28.wav,"Life is like a jar of cookies, and they're all for me.",0
28,data/uberduck-multispeakerwavs/29.wav,Where do you think you're goin?,0
29,data/uberduck-multispeakerwavs/30.wav,You can run but you can't drive.,0
30,data/uberduck-multispeakerwavs/31.wav,Give me that bottle or you babies will be eating soft foods for the rest of your lives.,0
31,data/uberduck-multispeakerwavs/32.wav,Hey this is almost fun!,0
32,data/uberduck-multispeakerwavs/33.wav,Get your leafy paws off of me.,0
33,data/uberduck-multispeakerwavs/34.wav,These aliums are dumber than regular people.,0
34,data/uberduck-multispeakerwavs/35.wav,Double bogardt!,0
35,data/uberduck-multispeakerwavs/36.wav,Hey this is hard.,0
36,data/uberduck-multispeakerwavs/37.wav,That's more like it.,0
37,data/uberduck-multispeakerwavs/38.wav,Aw don't be such a baby.,0
38,data/uberduck-multispeakerwavs/39.wav,Chuckie stop ruining my circus.,0
39,data/uberduck-multispeakerwavs/40.wav,Hey no fair.,0
40,data/uberduck-multispeakerwavs/41.wav,Come on let's go.,0
41,data/uberduck-multispeakerwavs/42.wav,Hey I was interfered with!,0
42,data/uberduck-multispeakerwavs/43.wav,I did it!,0
43,data/uberduck-multispeakerwavs/44.wav,Those are my cookies!,0
44,data/uberduck-multispeakerwavs/45.wav,Give me it.,0
45,data/uberduck-multispeakerwavs/46.wav,Help!,0
46,data/uberduck-multispeakerwavs/47.wav,Hey I didn't touch anything.,0
47,data/uberduck-multispeakerwavs/48.wav,"I'll show those aliums who the boss is, me!",0
48,data/uberduck-multispeakerwavs/49.wav,"No, I don't wanna start over!",0
49,data/uberduck-multispeakerwavs/50.wav,Ice cream mountain here I come.,0
50,data/uberduck-multispeakerwavs/51.wav,I can do this.,0
51,data/uberduck-multispeakerwavs/52.wav,If you babies are gonna be in my circus you better not mess up.,0
52,data/uberduck-multispeakerwavs/53.wav,Yeah yeah keep your mitts off em they're mine.,0
53,data/uberduck-multispeakerwavs/54.wav,"Twins, twice as dumb.",0
54,data/uberduck-multispeakerwavs/55.wav,Come back here you dumb baby!,0
55,data/uberduck-multispeakerwavs/56.wav,"No drooling on the field, babies!",0
56,data/uberduck-multispeakerwavs/57.wav,"I don't care what I said, give me a cookie!",0
57,data/uberduck-multispeakerwavs/58.wav,I hate vegabals.,0
58,data/uberduck-multispeakerwavs/59.wav,"Hey, look at me go!",0
59,data/uberduck-multispeakerwavs/60.wav,I wonder what those dumb babies are up to.,0
60,data/uberduck-multispeakerwavs/61.wav,This place is stranger in friction.,0
61,data/uberduck-multispeakerwavs/62.wav,"Oh great, now I gotta start over.",0
62,data/uberduck-multispeakerwavs/63.wav,"Five ninety three, that wasn't my fault I tripped, oh I'll get it next time.",0
63,data/uberduck-multispeakerwavs/64.wav,"Lazies are gingermen, aren't they wonderful?",0
64,data/uberduck-multispeakerwavs/65.wav,"Hey, get back here baby!",0
65,data/uberduck-multispeakerwavs/66.wav,"Babies, I just can't do a thing with them.",0
66,data/uberduck-multispeakerwavs/67.wav,You'll never get away with this.,0
67,data/uberduck-multispeakerwavs/68.wav,It's not about winning or losing it's about winning!,0
68,data/uberduck-multispeakerwavs/69.wav,"You dumb babies, give me my cookies!",0
69,data/uberduck-multispeakerwavs/70.wav,"I need them em, I can't live without out em.",0
70,data/uberduck-multispeakerwavs/71.wav,Hey you're drinking it all!,0
71,data/uberduck-multispeakerwavs/72.wav,"Yuck, now I gotta catch slimy gross frogs with Phil and Lil.",0
72,data/uberduck-multispeakerwavs/73.wav,Good thing this will help me be a fashion show queen.,0
73,data/uberduck-multispeakerwavs/74.wav,And maybe one of those frogs will turn out to be a prince.,0
74,data/uberduck-multispeakerwavs/75.wav,"It's like mommy always says, dress for excess.",0
75,data/uberduck-multispeakerwavs/76.wav,"Oh great, now I gotta follow a baby, Kimi's gotta move these arounds and I gotta copy her.",0
76,data/uberduck-multispeakerwavs/77.wav,"Babies can't be judges, they don't have any fashion sense. They go out in public in diapers.",0
77,data/uberduck-multispeakerwavs/78.wav,"Wow a whole building just for playing dress up, I wanna live here.",0
78,data/uberduck-multispeakerwavs/79.wav,"You know what this place needs, a store that sells ponies.",0
79,data/uberduck-multispeakerwavs/80.wav,It's tough being so cute but somebody has to do it.,0
80,data/uberduck-multispeakerwavs/81.wav,Mommy says there's no such thing as too many shoes.,0
81,data/uberduck-multispeakerwavs/82.wav,"To accept your award, click on it and give your speech into the microphone.",0
82,data/uberduck-multispeakerwavs/83.wav,We're not getting any younger here.,0
83,data/uberduck-multispeakerwavs/84.wav,This stinks.,0
84,data/uberduck-multispeakerwavs/85.wav,Speech already.,0
85,data/uberduck-multispeakerwavs/86.wav,You can't make a speech without saying anything you beanie brain.,0
86,data/uberduck-multispeakerwavs/87.wav,We made a recording of it!,0
87,data/uberduck-multispeakerwavs/88.wav,It's time for a jam session with the stars of your favorite nicktoons.,0
88,data/uberduck-multispeakerwavs/89.wav,Get jiggy with Eliza and Donnie from the wild thornberrys.,0
89,data/uberduck-multispeakerwavs/90.wav,Lay down a few fat beats with spongebob and patrick.,0
90,data/uberduck-multispeakerwavs/91.wav,Would you like to rap with Arnold and Gerald?,0
91,data/uberduck-multispeakerwavs/92.wav,Or would you like to record your voice in the mix master room with tommy pickles?,0
92,data/uberduck-multispeakerwavs/93.wav,"If you wanna add a new name, type it into the top box.",0
93,data/uberduck-multispeakerwavs/94.wav,What name are you gonna use?,0
94,data/uberduck-multispeakerwavs/95.wav,Now you gotta erase a name. Click on one of these names and click on the delete but.,0
95,data/uberduck-multispeakerwavs/96.wav,Now click on the back arrow to go back to the studio.,0
0,data/uberduck-multispeakerwavs/vdialoguec_acceptyield_001750d9_1.wav,The ultimate insult is to be spared.,1
1,data/uberduck-multispeakerwavs/vdialoguec_alertidle_00152cf8_1.wav,I thought I heard something.,1
2,data/uberduck-multispeakerwavs/vdialoguec_alertidle_0017524e_1.wav,You won't escape me.,1
3,data/uberduck-multispeakerwavs/vdialoguec_alertidle_0017524f_1.wav,Show yourself and I may let you live.,1
4,data/uberduck-multispeakerwavs/vdialoguec_alerttocombat_001751dc_1.wav,"There you are,",1
5,data/uberduck-multispeakerwavs/vdialoguec_alerttocombat_001751dd_1.wav,Fool.,1
6,data/uberduck-multispeakerwavs/vdialoguec_alerttocombat_001751de_1.wav,I know it.,1
7,data/uberduck-multispeakerwavs/vdialoguec_alerttonormal_00175281_1.wav,Must have been nothing.,1
8,data/uberduck-multispeakerwavs/vdialoguec_alerttonormal_00175282_1.wav,Nothing here.,1
9,data/uberduck-multispeakerwavs/vdialoguec_alerttonormal_00175283_1.wav,I guess it was nothing.,1
10,data/uberduck-multispeakerwavs/vdialoguec_assault_00175100_1.wav,You'll pay for that.,1
11,data/uberduck-multispeakerwavs/vdialoguec_assault_00175101_1.wav,Damn you.,1
12,data/uberduck-multispeakerwavs/vdialoguec_assault_00175102_1.wav,Degenerate.,1
13,data/uberduck-multispeakerwavs/vdialoguec_avoidthreat_00175211_1.wav,Scatter.,1
14,data/uberduck-multispeakerwavs/vdialoguec_avoidthreat_00175212_1.wav,Displace.,1
15,data/uberduck-multispeakerwavs/vdialoguec_combattolost_0017515f_1.wav,You can't hide from me.,1
16,data/uberduck-multispeakerwavs/vdialoguec_combattolost_00175160_1.wav,You won't escape me.,1
17,data/uberduck-multispeakerwavs/vdialoguec_combattolost_00175161_1.wav,I'll find you.,1
18,data/uberduck-multispeakerwavs/vdialoguec_combattonormal_0017518d_1.wav,Degenerate.,1
19,data/uberduck-multispeakerwavs/vdialoguec_combattonormal_0017518e_1.wav,"That's it. Run away,",1
20,data/uberduck-multispeakerwavs/vdialoguec_combattonormal_0017518f_1.wav,Coward.,1
21,data/uberduck-multispeakerwavs/vdialoguec_death_00175183_1.wav,Oh.,1
22,data/uberduck-multispeakerwavs/vdialoguec_death_00175185_1.wav,Oh.,1
23,data/uberduck-multispeakerwavs/vdialoguec_deathresponse_001751b0_1.wav,Keep fighting.,1
24,data/uberduck-multispeakerwavs/vdialoguec_deathresponse_001751b1_1.wav,Press on.,1
25,data/uberduck-multispeakerwavs/vdialoguec_deathresponse_001751b2_1.wav,Die Profligate.,1
26,data/uberduck-multispeakerwavs/vdialoguec_deathresponse_001751b3_1.wav,Death to the Legion's enemies.,1
27,data/uberduck-multispeakerwavs/vdialoguec_deathresponse_001751b4_1.wav,For the Legion.,1
28,data/uberduck-multispeakerwavs/vdialoguec_fireexplosive_00175291_1.wav,Explosive Brothers.,1
29,data/uberduck-multispeakerwavs/vdialoguec_fireexplosive_00175292_1.wav,Look out Brothers!,1
30,data/uberduck-multispeakerwavs/vdialoguec_flee_0017525e_1.wav,Fa back.,1
31,data/uberduck-multispeakerwavs/vdialoguec_flee_0017525f_1.wav,Run Brothers.,1
32,data/uberduck-multispeakerwavs/vdialoguec_flee_00175260_1.wav,Run.,1
33,data/uberduck-multispeakerwavs/vdialoguec_guardtrespass_00175141_1.wav,Leave while you still can.,1
34,data/uberduck-multispeakerwavs/vdialoguec_guardtrespass_00175142_1.wav,Move along or suffer the consequences.,1
35,data/uberduck-multispeakerwavs/vdialoguec_guardtrespass_00175143_1.wav,You don't belong here.,1
36,data/uberduck-multispeakerwavs/vdialoguec_hit_0017523f_1.wav,Ugh.,1
37,data/uberduck-multispeakerwavs/vdialoguec_hit_00175240_1.wav,Bah.,1
38,data/uberduck-multispeakerwavs/vdialoguec_hit_00175241_1.wav,Ah.,1
39,data/uberduck-multispeakerwavs/vdialoguec_hit_00175242_1.wav,Ah.,1
40,data/uberduck-multispeakerwavs/vdialoguec_hit_00175243_1.wav,Ah.,1
41,data/uberduck-multispeakerwavs/vdialoguec_lostidle_00175271_1.wav,You won't escape me.,1
42,data/uberduck-multispeakerwavs/vdialoguec_lostidle_00175272_1.wav,Skulking like a coward will not save you.,1
43,data/uberduck-multispeakerwavs/vdialoguec_lostidle_00175273_1.wav,I will find you.,1
44,data/uberduck-multispeakerwavs/vdialoguec_losttocombat_0017521d_1.wav,You're mine!,1
45,data/uberduck-multispeakerwavs/vdialoguec_losttocombat_0017521e_1.wav,I see you.,1
46,data/uberduck-multispeakerwavs/vdialoguec_losttocombat_0017521f_1.wav,I found you.,1
47,data/uberduck-multispeakerwavs/vdialoguec_losttonormal_0017519f_1.wav,I scared them away. No match for the legion.,1
48,data/uberduck-multispeakerwavs/vdialoguec_losttonormal_001751a0_1.wav,I'll kill them if they come back.,1
49,data/uberduck-multispeakerwavs/vdialoguec_losttonormal_001751a1_1.wav,It seems they ran off.,1
50,data/uberduck-multispeakerwavs/vdialoguec_murder_0017522c_1.wav,Retribution.,1
51,data/uberduck-multispeakerwavs/vdialoguec_murder_0017522d_1.wav,Vengeance.,1
52,data/uberduck-multispeakerwavs/vdialoguec_murder_0017522e_1.wav,Reprisal.,1
53,data/uberduck-multispeakerwavs/vdialoguec_murdernocrime_0017512b_1.wav,A fair kill.,1
54,data/uberduck-multispeakerwavs/vdialoguec_murdernocrime_0017512c_1.wav,One more to feed the worms.,1
55,data/uberduck-multispeakerwavs/vdialoguec_murdernocrime_0017512d_1.wav,The weak must die.,1
56,data/uberduck-multispeakerwavs/vdialoguec_normaltoalert_00175175_1.wav,What Was that?,1
